EdgeNumber Node1 Node2 FullCorrelation PartialCorrelation
653 23 37 2.31 0.15
654 24 37 1.38 0.45
655 25 37 1.48 -0.28
656 26 37 4.32 0.45
657 27 37 0.92 -0.21
658 28 37 1.17 -0.14
659 29 37 4.69 1.63
660 30 37 -3.27 -0.48
661 31 37 2.40 1.19
662 32 37 -4.13 -0.84
663 33 37 0.98 0.03
664 34 37 1.63 0.02
665 35 37 1.77 0.57
666 36 37 -3.99 -0.66
667 1 38 -0.68 -0.06
668 2 38 1.93 0.31
669 3 38 -1.37 -0.29
670 4 38 -0.90 -0.28
671 5 38 -0.58 -0.01
672 6 38 -0.23 -0.13
673 7 38 0.96 0.30
674 8 38 0.35 0.10
675 9 38 -0.82 -0.19
676 10 38 -0.29 -0.10
677 11 38 -1.03 -0.22
678 12 38 -0.51 -0.06
679 13 38 -0.67 -0.24
680 14 38 -1.10 -0.28
681 15 38 3.29 0.71
682 16 38 -0.11 -0.06
683 17 38 0.15 0.10
684 18 38 -0.14 -0.18
685 19 38 -0.35 -0.25
686 20 38 -1.03 -0.22
687 21 38 0.11 0.03
688 22 38 0.69 0.04
689 23 38 1.07 0.05
690 24 38 -0.69 -0.20
691 25 38 0.32 0.07
692 26 38 -0.03 -0.13
693 27 38 3.25 0.82
694 28 38 2.31 0.49
695 29 38 -0.34 -0.23
696 30 38 -0.19 -0.01
697 31 38 -0.27 0.00
698 32 38 -1.02 -0.22
699 33 38 0.41 0.02
700 34 38 -0.99 -0.44
701 35 38 1.25 0.20
702 36 38 -0.35 -0.03
703 37 38 1.05 0.02
704 1 39 -0.04 0.27
705 2 39 -2.70 -1.50
706 3 39 -4.70 -1.68
707 4 39 6.79 2.97
708 5 39 -4.21 -2.43
709 6 39 -2.29 -0.29
710 7 39 -2.91 -0.50
711 8 39 -2.65 -0.53
712 9 39 -3.63 -0.40
713 10 39 8.93 3.40
714 11 39 -2.32 -0.20
715 12 39 -1.53 -0.93
716 13 39 -4.79 -0.37
717 14 39 -2.39 -0.31
718 15 39 -2.14 -0.56
719 16 39 -2.76 -0.80
720 17 39 -1.71 -0.03
721 18 39 3.54 0.20
722 19 39 2.77 0.77
723 20 39 -2.41 -0.78
724 21 39 -4.06 -0.17
725 22 39 -3.50 -0.73
726 23 39 -2.30 -0.81
727 24 39 8.43 3.90
728 25 39 -0.57 -1.83
729 26 39 5.80 2.22
730 27 39 0.53 0.31
731 28 39 -1.13 0.23
732 29 39 -1.43 0.32
733 30 39 -2.68 -0.54
734 31 39 -0.83 0.74
735 32 39 -2.26 -0.46
736 33 39 -1.01 -0.53
737 34 39 8.10 3.21
738 35 39 -3.41 -1.19
739 36 39 5.99 2.88
740 37 39 0.38 -0.28
741 38 39 -0.05 0.23
742 1 40 -1.86 -0.26
743 2 40 -4.64 -1.78
744 3 40 -0.73 0.07
745 4 40 -1.25 -0.79
746 5 40 1.51 0.29
747 6 40 -1.33 -0.28
748 7 40 -1.48 -0.67
749 8 40 0.40 0.03
750 9 40 -3.52 -0.82
751 10 40 4.78 1.77
752 11 40 -0.44 0.00
753 12 40 -0.48 -0.71
754 13 40 -0.06 0.41
755 14 40 -0.92 -0.02
756 15 40 1.69 0.64
757 16 40 -0.06 -0.07
758 17 40 -0.21 -0.48
759 18 40 0.94 0.13
760 19 40 -1.91 -1.11
761 20 40 -0.94 -0.17
762 21 40 -2.39 -0.58
763 22 40 -3.07 -0.53
764 23 40 -0.77 -0.28
765 24 40 4.17 0.78
766 25 40 1.88 0.66
767 26 40 -0.32 -0.30
768 27 40 1.34 1.10
769 28 40 -0.28 0.01
770 29 40 -0.23 0.03
771 30 40 -1.15 -0.10
772 31 40 2.90 0.53
773 32 40 -1.47 -0.17
774 33 40 -3.71 -0.85
775 34 40 -1.04 -0.46
776 35 40 -1.38 -0.13
777 36 40 1.94 0.56
778 37 40 4.47 1.76
779 38 40 0.16 -0.09
780 39 40 2.21 0.08
781 1 41 1.37 -0.00
782 2 41 3.57 0.58
783 3 41 2.05 0.41
784 4 41 5.48 1.57
785 5 41 -3.69 -0.80
786 6 41 0.94 -0.00
787 7 41 -0.07 0.12
788 8 41 -4.20 -1.34
789 9 41 -0.50 -0.12
790 10 41 0.90 0.09
791 11 41 -2.87 -0.50
792 12 41 -3.00 -0.24
793 13 41 -3.24 -0.50
794 14 41 0.17 0.11
795 15 41 -2.47 -0.67
796 16 41 -0.98 -0.36
797 17 41 -1.96 -0.08
798 18 41 2.15 0.13
799 19 41 -0.78 0.07
800 20 41 0.74 -0.09
801 21 41 -2.64 -0.67
802 22 41 2.79 0.61
803 23 41 -1.43 -0.33
804 24 41 -3.38 -1.18
805 25 41 -0.12 0.13
806 26 41 0.35 0.02
807 27 41 2.07 0.02
808 28 41 -1.18 -0.25
809 29 41 -2.56 -0.43
810 30 41 1.56 0.20
811 31 41 -3.79 -0.06
812 32 41 2.73 0.46
813 33 41 2.73 0.54
814 34 41 4.52 0.88
815 35 41 2.05 0.18
816 36 41 -0.88 -0.04
817 37 41 -0.73 -0.20
818 38 41 -0.70 -0.13
819 39 41 0.48 -0.54
820 40 41 -2.55 -0.54
821 1 42 -2.75 -0.84
822 2 42 0.71 -0.27
823 3 42 1.19 0.49
824 4 42 6.92 1.75
825 5 42 -3.50 -0.45
826 6 42 -1.36 -0.57
827 7 42 -1.31 0.05
828 8 42 -2.76 -0.73
829 9 42 -4.07 -0.48
830 10 42 2.43 0.29
831 11 42 -4.12 -0.06
832 12 42 -3.52 -0.94
833 13 42 -3.96 -0.29
834 14 42 -2.22 -0.92
835 15 42 -2.58 -0.39
836 16 42 1.69 0.54
837 17 42 -1.68 -0.24
838 18 42 7.25 1.70
839 19 42 -3.22 -0.81
840 20 42 -0.74 -0.37
841 21 42 -3.13 0.10
842 22 42 -1.68 -0.56
843 23 42 -1.37 -0.34
844 24 42 3.23 0.95
845 25 42 1.84 -0.04
846 26 42 4.80 0.86
847 27 42 0.18 -0.75
848 28 42 -2.56 -0.87
849 29 42 -4.90 -1.25
850 30 42 -0.54 0.08
851 31 42 -4.08 -1.35
852 32 42 0.46 0.01
853 33 42 -1.39 -0.53
854 34 42 4.43 0.15
855 35 42 0.11 -0.09
856 36 42 -2.54 -0.68
857 37 42 1.64 0.18
858 38 42 -0.01 0.11
859 39 42 4.40 0.50
860 40 42 0.14 -0.14
861 41 42 5.32 1.56
862 1 43 -0.27 -0.12
863 2 43 0.08 -0.23
864 3 43 -0.97 -0.19
865 4 43 -0.29 -0.38
866 5 43 -0.47 -0.39
867 6 43 1.15 0.13
868 7 43 2.38 0.47
869 8 43 -1.73 -0.41
870 9 43 0.88 0.27
871 10 43 1.52 0.31
872 11 43 0.42 0.15
873 12 43 -1.81 -0.56
874 13 43 0.47 0.27
875 14 43 -1.15 -0.27
876 15 43 -0.69 0.06
877 16 43 -1.12 -0.25
878 17 43 -1.38 -0.39
879 18 43 -0.23 -0.14
880 19 43 -0.45 -0.15
881 20 43 -0.30 -0.23
882 21 43 -0.33 -0.26
883 22 43 -0.18 -0.12
884 23 43 -2.12 -0.40
885 24 43 -0.80 -0.16
886 25 43 -0.81 -0.14
887 26 43 -0.80 -0.17
888 27 43 0.03 0.00
889 28 43 -2.01 -0.55
890 29 43 -2.21 -0.46
